en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
drug detoxification,薬物の解毒,therapeutic agent,治療薬,Medical intervention to drug overdose,,Q1345789
seitai,整体,therapeutic agent,治療薬,,体の筋骨を整える治療技術,Q976922
orthokeratology,オルソケラトロジー,therapeutic agent,治療薬,corrective contact lenses,角膜形状を変形して矯正し、治療する角膜矯正療法,Q1571081
shiatsu,指圧,therapeutic agent,治療薬,Japanese type of bodywork therapy based on Chinese medicine,日本の手技療法,Q833228
hair transplantation,植毛,therapeutic agent,治療薬,surgical operation to relocate hair follicles,,Q685286
photobiomodulation,低出力レーザー療法,therapeutic agent,治療薬,treatment using irradiation with light of low power intensity,,Q1872556
fecal bacteriotherapy,糞便注腸法,therapeutic agent,治療薬,process of transplantation of fecal bacteria from a healthy individual into a recipient,健康な人の腸内細菌を対象患者の消化管に移植する治療法,Q2121103
charmstone,チャームストーン,therapeutic agent,治療薬,stone or mineral artifact of various types,,Q1595499
orthopathy,ナチュラルハイジーン,therapeutic agent,治療薬,system of alternative medicine,,Q2260516
dental extraction,抜歯,therapeutic agent,治療薬,operation (usually by a dentist or oral surgeon) to remove a tooth,,Q849893
eye movement desensitization and reprocessing,EMDR,therapeutic agent,治療薬,controversial form of psychotherapy in which the patient recalls traumatic stimuli while doing eye or hand movements,,Q1385716
focusing,フォーカシング,therapeutic agent,治療薬,psychotherapeutic technique,,Q1435089
TEACCH approach,TEACCHプログラム,therapeutic agent,治療薬,university Organization,ノースカロライナ州の自閉スペクトラム症支援プログラム,Q954190
Kumbhaka,クンバカ,therapeutic agent,治療薬,Yoga practice,,Q1131269
breast surgery,乳腺外科学,therapeutic agent,治療薬,surgery on the chest,,Q3675167
oil pulling,オイルプリング,therapeutic agent,治療薬,"alternative medical practice without proven benefit, in which oil is ""swished"" around the mouth",代替医療,Q297078
5:2 diet,5：2ダイエット,therapeutic agent,治療薬,,,Q4641039
Radithor,ラディトール,therapeutic agent,治療薬,Radioactive patent medicine,,Q3928885
sympathectomy,交感神経遮断術,therapeutic agent,治療薬,procedure during which at least one sympathetic ganglion is removed,交感神経節を切除する手術,Q6128790
Glanuloplasty,亀頭形成術,therapeutic agent,治療薬,,,Q5566650
Anthroposophical medicine,人智医学,therapeutic agent,治療薬,form of alternative medicine,,Q574514
ABVD,ABVD療法,therapeutic agent,治療薬,chemotherapy regime used in the treatment of Hodgkin's lymphoma,,Q287631
FOLFIRI,FOLFIRI,therapeutic agent,治療薬,chemotherapy regimen,,Q1389369
COPP,COPP療法,therapeutic agent,治療薬,chemotherapy regimen for treatment of non-Hodgkin lymphoma,,Q1024110
animal magnetism,動物磁気,therapeutic agent,治療薬,purported force in living things,,Q547546
parent–child interaction therapy,親子相互交流療法,therapeutic agent,治療薬,intervention developed by Sheila Eyberg,,Q7136832
sophrology,ソフロロジー,therapeutic agent,治療薬,relaxation technique based on yoga,,Q1263718
CAPOX,CAPOX,therapeutic agent,治療薬,chemotherapy regimen,,Q3648511
BEACOPP,BEACOPP療法,therapeutic agent,治療薬,,,Q473727
Iridology,イリドロジー,therapeutic agent,治療薬,alternative medicine technique,,Q368718
mindfulness-based cognitive therapy,マインドフルネス認知療法,therapeutic agent,治療薬,psychotherapy that uses cognitive behavioral therapy with mindfulness meditative practices,マインドフルネスにもとづいた心理療法,Q341031
dialectical behavior therapy,弁証法的行動療法,therapeutic agent,治療薬,evidence-based psychotherapy designed to help people with emotional dysregulation such as in borderline personality disorder,,Q1208421
lymphadenectomy,リンパ節郭清,therapeutic agent,治療薬,surgical removal of lymph nodes (often part of breast cancer treatment),外科的治療法の一つ,Q1809305
pallidotomy,淡蒼球切除,therapeutic agent,治療薬,surgical procedure to damage the globus pallidus,,Q3892641
ear candling,イヤーキャンドリング,therapeutic agent,治療薬,dangerous alternative medicine practice for ear cleaning,,Q583528
mastoidectomy,乳突洞削開術,therapeutic agent,治療薬,surgery for mastoidits,,Q4462424
parathyroidectomy,副甲状腺摘出術,therapeutic agent,治療薬,surgical removal of one or more of the parathyroid glands,,Q7136153
cognitive behavioral therapy,認知行動療法,therapeutic agent,治療薬,"psychotherapeutic approach that addresses dysfunctional emotions, behaviors and cognitions",心理療法の技法の一つ,Q1147152
lower segment cesarean section,子宮下部帝王切開,therapeutic agent,治療薬,Type of caesarean section,,Q6693960
Tiger trout,タイガートラウト,therapeutic agent,治療薬,hybrid fish,,Q821850
hernia repair,ヘルニア修復術,therapeutic agent,治療薬,surgical procedures to fix abnormal openings through which tissue or organs may protrude,,Q2531594
Bates method,ベイツ・メソッド,therapeutic agent,治療薬,alternative eyesight improvement therapy,,Q709136
jing zuo,静坐,therapeutic agent,治療薬,meditation practice,中国における瞑想法,Q6202271
Finnish clinical art,フィンランド型臨床美術,therapeutic agent,治療薬,Clinical art born in Finland,フィンランドで生まれた臨床美術の一種,Q123019616
Past life regression,前世療法,therapeutic agent,治療薬,process claiming to retrieve memories of previous lives,,Q119806353
COVID-19 intensive care treatment occurrence,COVID-19集中治療処置数,therapeutic agent,治療薬,a patient is treated in intensive care related to COVID-19,,Q88240100
high-dose  vitamin C for cancer therapy,高濃度ビタミンC点滴療法,therapeutic agent,治療薬,,,Q97376960
emergency cesarean section,緊急帝王切開,therapeutic agent,治療薬,cesarean section that is not scheduled,,Q29997105
Open Dialogue,オープン・ダイアローグ,therapeutic agent,治療薬,treatment program for schizophrenia,統合失調症に対する治療的介入の手法,Q18383305
elective cesarean section,予定帝王切開,therapeutic agent,治療薬,cesarean section that is scheduled,,Q29997163
particle therapy,粒子線治療,therapeutic agent,治療薬,fighting cancer with high-energy particles,粒子線によるがん治療,Q38276304
Minimally invasive direct coronary artery bypass surgery,低侵襲冠動脈バイパス術,therapeutic agent,治療薬,surgical treatment for coronary heart disease,,Q17122924
dorsal slit,背面切開術,therapeutic agent,治療薬,single incision along the upper length of the foreskin,,Q30314013
Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,symptom,症状,skin disease,皮膚や粘膜の過敏症,Q1053948
hypnogogic hallucination,催眠幻覚,symptom,症状,"hallucination that occur at the onset of sleep (most commonly of the visual, auditory or tactile modality)",,Q63253280
acute subdural hematoma,急性硬膜下血腫,symptom,症状,accumulation of blood in the subdural space with acute onset of neurological symptoms,短時間で硬膜と脳の間に血腫が形成された状態,Q11491565
George H. W. Bush vomiting incident,ブッシュ米大統領の1992年の崩壊と嘔吐,symptom,症状,when US President vomited into Japanese Prime Minister's lap,,Q5540112
Phantom sense,VR感覚,symptom,症状,an apparent sensations reported by users of virtual reality platforms,,Q136147236
deathbed phenomena,死床現象,symptom,症状,range of phenomena reported by dying people,終末期の患者などが自らの死に臨み、すでに亡くなった存在やその他の事象といった、通常では見たり体験することのできない事物を感知する経験のこと,Q5247663
Makyo,魔境,symptom,症状,"""Ghost cave"": Zen Buddhist concept",,Q1758551
post-war chaos period,戦後混乱期,symptom,症状,,第二次世界大戦終戦直後の日本の政治経済が混乱した時期,Q11075191
mania,躁病,symptom,症状,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",気分高揚・万能感・活動性激増・多弁・自己過大評価・睡眠激減・観念奔逸・病識欠如などを特徴とする精神疾患,Q185935
Capgras syndrome,カプグラ症候群,symptom,症状,psychiatric disorder (syndrome) in which a person holds a delusion that a family member has been replaced by an identical imposter,精神疾患の一種,Q838018
Ganser syndrome,拘禁反応,symptom,症状,rare dissociative disorder previously classified as a factitious disorder,強制的に自由を抑圧される環境に置かれた人に表れる人格の変化,Q911160
psychological trauma,心的外傷,symptom,症状,type of damage to the psyche that occurs as a result of a severely distressing event,ある出来事がきっかけで心に傷を負う状態,Q654426
asthenia,無力症,symptom,症状,symptom,筋力が弱くなる症状,Q633403
apathy,アパシー,symptom,症状,state of indifference or the suppression of emotions; lack of interest or enthusiasm,感情がなくなった状態,Q309406
abetalipoproteinemia,無β・リポタンパク血症,symptom,症状,"rare genetic disease involving failure of synthesis or assembly of plasma lipoproteins that contain apo-protein B (chylomicrons, VLDL, and LDL); characterized by severe vitamin E deficiency, leading to serious neurological damage",,Q319812
myasthenia gravis,重症筋無力症,symptom,症状,human disease,アセチルコリンなどの抗体により神経・筋伝達が阻害されるために筋肉の易疲労性や脱力が起こる自己免疫疾患,Q8285
compulsive behavior,強迫行動,symptom,症状,performing an act persistently and repetitively without it necessarily leading to an actual reward or pleasure,,Q266332
clinical lycanthropy,臨床人狼病,symptom,症状,psychopathological symptom,,Q41184
delusion,妄想,symptom,症状,firm and fixed belief based on inadequate grounding,その文化において共有されない誤った確信,Q189643
psychological dependence,精神的依存,symptom,症状,form of dependence that involves emotional,,Q4420150
psychomotor agitation,精神運動性激越,symptom,症状,a set of signs and symptoms that stem from mental tension and anxiety; the signs are unintentional and purposeless motions; the symptoms are emotional distress and restlessness,精神的な緊張や不安から生じる一連の兆候と症状。兆候は意図的でない無目的な動きであり、症状は感情的な苦痛と落ち着きのなさである。,Q394129
muscle rigidity,筋肉の硬直,symptom,症状,symptom,,Q1529977
anhedonia,快感消失,symptom,症状,inability to feel pleasure,,Q545365
catalepsy,カタレプシー,symptom,症状,"psychomotor symptom of catatonia, abnormal maintenance of postures",受動的にとらされた姿勢を保ち続け、自分の意思で変えようとしない状態,Q918193
Heinz body,ハインツ小体,symptom,症状,symptom,,Q1433921
evil eye,邪視,symptom,症状,"curse believed to be cast by a malevolent glare, causing many cultures to create measures against it",伝説神話,Q1020115
amok,アモック,symptom,症状,culture-bound syndrome,,Q473814
angina pectoris,狭心症,symptom,症状,chest discomfort due to not enough blood flow to heart muscle,,Q180762
xanthelasma,眼瞼黄色腫,symptom,症状,medical condition,,Q1500346
thromboangiitis obliterans,閉塞性血栓性血管炎,symptom,症状,Human disease,,Q746001
impulsivity,衝動性,symptom,症状,"tendency to act on a whim, displaying behavior characterized by little or no forethought, reflection, or consideration of the consequences",悪い結果になってしまうかもしれない行動を深く考えずに行ってしまうという行動特性,Q1549918
Trousseau sign,トルソー徴候,symptom,症状,symptom,,Q1458077
sadness,悲しみ,symptom,症状,"emotional pain associated with, or characterized by, feelings of disadvantage, loss, despair, grief, helplessness, disappointment and sorrow",負の感情のひとつ,Q169251
cenesthopathy,体感症,symptom,症状,aberrant bodily sensation,,Q3919140
reduced affect display,感情鈍麻,symptom,症状,condition of reduced emotional reactivity in an individual,,Q2973381
Alcoholism in Russia,ロシアのアルコール消費量,symptom,症状,public health issue in Russia,,Q4385567
gummatous syphilis,ゴム腫,symptom,症状,"tertiary syphilis that is characterized by granulomatous lesions, called gummas, which are characterized by a center of necrotic tissue with a rubbery texture. They form in the liver, bones, and testes but may affect any organ",,Q2466723
tympanites,鼓脹症,symptom,症状,medical condition in which excess gas accumulates in the gastrointestinal tract and causes abdominal distension,,Q1413614
fatigue,疲労,symptom,症状,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,主観的感覚,Q9690
virilization,男性化,symptom,症状,biological development of male sex characteristics,成人男性の特徴が生物学的に発現する事,Q1433654
absence seizure,欠神発作,symptom,症状,"generalized seizure characterized by a brief loss and return of consciousness, generally not followed by a period of lethargy",,Q2346980
greyout,グレイアウト,symptom,症状,transient loss of vision characterized by a perceived dimming of light and color,,Q1404110
Smith-Magenis syndrome,スミス・マゲニス症候群,symptom,症状,Human disease,,Q2295338
disorientation,失見当識,symptom,症状,psychopathological symptom,見当識を失った状態,Q1895873
sepsis,敗血症,symptom,症状,life-threatening response to infection,感染症に対する制御不能な生体反応からくる致命的な臓器障害,Q183134
tunnel vision,視野狭窄,symptom,症状,medical condition,,Q2460147
sinusitis,副鼻腔炎,symptom,症状,inflammation of the mucous membrane that lines the sinuses resulting in symptoms,副鼻腔に炎症がおきる病気,Q183344
lying,横臥,symptom,症状,human position in which the body is more or less horizontal and supported along its length by the surface underneath,,Q2268776
red eye,充血,symptom,症状,type of eye disease,,Q2610154
latah,ラタ,symptom,症状,culture-bound syndrome,,Q1806811
Solipsism syndrome,独我論症候群,symptom,症状,psychological condition,,Q7558166
derealization,現実感喪失,symptom,症状,feeling as though the external world is not real,,Q1199997
erythroderma,紅皮症,symptom,症状,skin disease,,Q1363741
pseudohallucination,偽幻覚,symptom,症状,"involuntary sensory experience vivid enough to be regarded as a hallucination, but recognised by the patient not to be the result of external stimuli",,Q2361468
congenital diaphragmatic hernia,先天性横隔膜ヘルニア,symptom,症状,"diaphragm disease characterized by the lack of development of all or part of the diaphragm, which results in an abnormal opening that allows the stomach and intestines to move into the chest cavity and crowd the heart and lungs",,Q2163245
rumination,反すう,symptom,症状,persistent thinking that causes worry and distress,,Q1411912
methylmalonic acidemia,メチルマロン酸血症,symptom,症状,organic acidemia that involves an accumulation of methylmalonic acid in the blood,,Q742500
self-neglect,セルフネグレクト,symptom,症状,"behavioral condition in which an individual neglects to attend to their basic needs, such as personal hygiene, appropriate clothing, feeding, or tending appropriately to any medical conditions they have",自らの生活に必要な行動を執る気力を喪失し、周囲の人間にも助けを求めない状況にあること,Q2361701
polyarteritis nodosa,結節性多発動脈炎,symptom,症状,"segmental transmural, necrotizing vasculitis",,Q745162
self-injury,自傷行為,symptom,症状,intentional injury to one's own body without the intention to kill oneself,意図的に自らの身体を傷つけたり、毒物などを摂取したりすること,Q622527
gastroesophageal reflux,呑酸,symptom,症状,symptom,,Q16595080
borborygmus,腸蠕動音,symptom,症状,"rumbling, growling or gurgling noise produced by movement of the contents of the gastro-intestinal tract",,Q1781127
magical thinking,呪術的思考,symptom,症状,"illogical conclusions based on correlated events, or belief that unrelated events are causally connected despite the absence of any plausible causal link between them",,Q136783
cri-du-chat syndrome,Cri-du-chat症候群,symptom,症状,human medical condition,,Q752298
pure red-cell aplasia,赤芽球癆,symptom,症状,human disease,,Q751631
mood swing,気分変動,symptom,症状,extreme or rapid change in mood,,Q7933601
redout,レッドアウト,symptom,症状,medical symptom when experiencing negative g-force,,Q1758945
moya moya disease,もやもや病,symptom,症状,cerebral arterial disease characterized by constriction of certain arteries at the base of the brain; blood flow is blocked by the constriction and also by blood clots,脳底部に異常血管網がみられる脳血管障害,Q1951267
flashback,フラッシュバック,symptom,症状,psychological phenomenon in which a person re-experiences a memory,強烈な心的外傷が突如として再現される心理現象,Q1938569
basal ganglia calcification,ファール病,symptom,症状,"a rare, genetic neurological disorder characterized by abnormal deposits of calcium in areas of the brain that control movement",,Q1947307
snoring,いびき,symptom,症状,"involuntary, vibratory noises made while sleeping",睡眠時に上気道が呼吸時に擦れて出す呼吸音,Q205835
schizophrenic autism,自閉,symptom,症状,"autism as a symptom of schizophrenia, withdrawal to inner life",陰性症状：自己の内界に閉じ込もる,Q9162872
yawn,あくび,symptom,症状,reflex,眠い時に出る呼吸動作,Q182180
automatic negative thoughts,自動思考,symptom,症状,,,Q48999450
neologism,言語新作,symptom,症状,"psychopathological symptom, characterized by the invention of new words that have meaning only to the person using them",,Q99305782
distractibility,転導性,symptom,症状,psychopathological symptom (difficulty focusing on tasks),精神病理学的症状の一種。気が散りやすいこと,Q21515327
Sinbyeong,巫病,symptom,症状,Korean culture-bound syndrome,,Q17063412
insect-inflicted wound,虫刺症,symptom,症状,wound caused by the bite or sting of an insect,,Q368779
xerostomia,口腔乾燥症,symptom,症状,medical condition,,Q1162276
hostility,敵意,symptom,症状,form of emotionally charged angry behavior,,Q2729863
depigmentation,色素脱失,symptom,症状,lightening of the skin or loss of pigment,,Q3705665
anxiety,不安,symptom,症状,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",,Q154430
hidden hearing loss,隠れ難聴,symptom,症状,"typically undetected hearing loss in conventional tests, affecting the ability to hear sounds in noisy environments or with multiple speakers",,Q3508741
rash,皮疹,symptom,症状,skin condition,,Q653197
nasake wa hito no tame narazu,情けは人の為ならず,symptom,症状,,日本語のことわざ,Q11492730
the Truman Show delusion,トゥルーマン・ショー妄想,symptom,症状,"type of delusion in which the person believes that their lives are staged reality shows, or that they are being watched on cameras",,Q633567
cribbing,齰癖,symptom,症状,stable vice in horses,,Q1338862
somatization,身体化,symptom,症状,medical symptoms caused by psychological stress,,Q2723947
myoclonus,ミオクローヌス,symptom,症状,"medical sign, rapid involuntary irregular muscle contractions",,Q116275
uterine contraction,子宮収縮,symptom,症状,contraction of the uterus,,Q1751296
idée fixe,観念固着,symptom,症状,an idea that preoccupies an individual and that he is unwilling to give up despite evidence to the contrary,,Q1421961
aura,アウラ (医学用語),symptom,症状,eye disturbance with/without headache,,Q739481
imu reaction,イム,symptom,症状,,,Q11287073
desquamation,落屑,symptom,症状,"""shedding"" of the skin",,Q2738617
patulous eustachian tube,耳管開放症,symptom,症状,eustachian tube disorder,,Q1361850
epigastric pain,心窩部痛,symptom,症状,symptom,,Q3589142
metal poisoning,金属中毒,symptom,症状,toxic and harmful effects of certain metals and their compounds to living organisms,金属の摂取により毒性のある化合物が形成されること,Q4215775
dyspnea,呼吸困難,symptom,症状,feelings associated with impaired breathing,,Q188008
hyperfocus,過集中,symptom,症状,"a state of extreme focus experienced by neurodivergent individuals, commonly with ADHD or autism",,Q1640924
death rattle,死前喘鳴,symptom,症状,sound often produced by someone who is near death when fluids such as saliva and bronchial secretions accumulate in the throat and upper chest,,Q663998
automatic behavior,無意識下での行動,symptom,症状,spontaneous verbal or motor behavior,,Q19595989
susto,スストー,symptom,症状,culture-bound syndrome,,Q10375211
hearing disorder,聴覚障害,symptom,症状,"human disease condition that impairs the ability to detect, process, or interpret sounds",,Q1644260
Asymptomatic,症候が現れない,symptom,症状,"a condition or state of a disease, which occurs when the individual does not present symptoms of the disease, even though he or she is a carrier of the virus.",,Q1707292
ketonuria,ケトン尿症,symptom,症状,medical condition in which ketone bodies are present in the urine,尿中のケトン体が増量する症状,Q1739905
impairment of continence,失禁,symptom,症状,lack of control of either bladder or bowel function,,Q3232712
palmar erythema,手掌紅斑,symptom,症状,reddening of the palms,,Q1755849
finger tremor,手指振戦,symptom,症状,"rapid, involuntary shaking of the fingers",,Q21109837
eye irritation,目の炎症,symptom,症状,irritation of the eye,,Q11820606
emotional disorder,情緒障害,symptom,症状,symptom,症状,Q12046440
erythema gyratum repens,匍行性迂回状紅斑,symptom,症状,medical condition,,Q11697109
heat exhaustion,熱疲労,symptom,症状,caused by the loss of water and electrolytes through sweating,,Q12643772
Braxton Hicks contraction,Braxton-Hicks収縮,symptom,症状,uterine contractions during pregnancy before labor,,Q2117286
microsleep,マイクロスリープ,symptom,症状,temporary episode of sleep or drowsiness,,Q1192036
dysphoria,不快,symptom,症状,"state of feeling unwell or unhappy; a feeling of emotional and mental discomfort as a symptom of discontentment, restlessness, dissatisfaction, malaise, depression, anxiety or indifference",,Q290620
autoimmune hepatitis,自己免疫性肝炎,symptom,症状,autoimmune disease of gastrointestinal tract that results in inflammation located in liver caused by the body's immune system attacking the liver cells,,Q786844
Bell's phenomenon,ベル現象,symptom,症状,reflex of the eye,,Q2747900
erythema,紅斑,symptom,症状,symptom,,Q1166142
stereotypy,常同行動,symptom,症状,repetitive mechanical repetition of speech or physical activities,,Q1198115
coffee ground vomiting,コーヒー残渣様嘔吐,symptom,症状,medical condition,,Q5140942
obtundation,鈍麻,symptom,症状,state characterised by a reduced level of consciousness and slowed responses to stimulation,,Q1975146
when pigs fly,空飛ぶ豚,symptom,症状,figure of speech describing an impossible event,,Q640434
hypomania,軽躁病,symptom,症状,mood state characterized by persistent and pervasive elevated or irritable mood,双極性障害（躁鬱病）という精神疾患における、﻿気分高揚や活動性亢進状態の期間,Q188611
agnosia,失認,symptom,症状,neurologic sensory disorder,,Q220322
apraxia,失行,symptom,症状,agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities,,Q498916
strawberry tongue,イチゴ舌,symptom,症状,symptom,,Q4346317
West syndrome,点頭てんかん,symptom,症状,"severe epilepsy syndrome with infantile spasms, hypsarrhythmia and mental retardation",,Q1041258
Fanconi anemia,ファンコーニ貧血,symptom,症状,human genetic disease,,Q845779
Agony in the Garden,ゲツセマネの祈り,symptom,症状,episode from the life of Jesus Christ,イエス・キリストがゲツセマネの園で十字架刑に処せられる前夜に祈った祈り,Q2467856
phlegm,痰,symptom,症状,liquid secreted by the mucous membranes of mammalians,,Q3746560
upper gastrointestinal bleeding,上部消化管出血,symptom,症状,medical condition,,Q3144956
nosebleed,鼻血,symptom,症状,bleeding from the nose,鼻腔からの出血,Q202013
myotonia,筋強直症候群,symptom,症状,prolonged contraction of muscles,,Q1277793
blurred vision,かすみ目,symptom,症状,"symptom, lack of sharpness of vision resulting in the inability to see fine detail",,Q4930803
focal neurologic sign,前頭葉徴候,symptom,症状,"impairment of nerve, spinal cord, or brain function that affects a specific region of the body",,Q4340622
chemical burn,化学熱傷,symptom,症状,medical condition,,Q2141836
melena,メレナ,symptom,症状,medical condition with dark feces that are associated with upper gastrointestinal bleeding,,Q1163908
intermittent fever,間欠熱,symptom,症状,symptom,一日の体温差が1°C以上の変化をとり、37°C以下にまで下がる発熱,Q3073147
distraction,注意散漫,symptom,症状,diversion of attention away from an intended focus,,Q3030775
stiff neck,寝違え,symptom,症状,,睡眠中に起こる首の痛みまたは首の硬直,Q21117511
savant syndrome,サヴァン症候群,symptom,症状,"psychological disorder that turns people to a megasavant, with a serious mental disorder",自閉症や知的障害の人のうち極稀に見られる、ある特定分野でのみ非常に優れた能力を示す症状,Q467265
eosinophilia,好酸球増加症,symptom,症状,Human disease,血液疾患,Q505142
colony collapse disorder,蜂群崩壊症候群,symptom,症状,poorly-understood phenomenon causing decline in bee populations,ミツバチが原因不明で大量に失踪する現象,Q497841
respiratory hypersensitivity,呼吸器過敏症,symptom,症状,symptom,,Q21116733
distress,苦悩,symptom,症状,difficult state in which a person is unable to completely adapt to stressors and their resulting stress and shows maladaptive behaviors,,Q5283089
upper respiratory irritation,上気道刺激,symptom,症状,symptom,,Q21112293
cognitive deficit,認知障害,symptom,症状,medical condition,,Q5141203
respiratory irritation,呼吸器の刺激,symptom,症状,symptom,,Q21112283
Leaf spot,斑点性病害,symptom,症状,leaf disease caused by fungal pathogen,植物の葉に病斑を形成する病害の総称,Q6508875
pediatric multisystem inflammatory syndrome,小児発症性多系統炎症症候群,symptom,症状,"systemic inflamation in children, connected to COVID-19",小児にみられる重度炎症性疾患の一種,Q93629491
eye ulceration,目の潰瘍,symptom,症状,medical condition,,Q21402617
dysorgasmia,オーガズム痛,symptom,症状,pain caused by orgasm,,Q97366766
religious trauma syndrome,宗教的トラウマ症候群,symptom,症状,set of symptoms experienced by those who participate in or have left certain religious groups and belief systems,,Q54396715
motor neuropathy,運動ニューロパチー,symptom,症状,medical condition,,Q21402580
autistic meltdown,自閉症のメルトダウン,symptom,症状,involuntary emotional breakdown in an autistic person caused by severe stress,,Q72423832
Havana syndrome,ハバナ症候群,symptom,症状,set of medical symptoms affecting U.S. and Canada government personnel,,Q42915945
problem behavior,問題行動,symptom,症状,unwanted habitual activity,,Q51714514
mental distress,精神的苦痛,symptom,症状,"range of symptoms and experiences of a person's internal life that are commonly held to be troubling, confusing or out of the ordinary",,Q6817452
Klingsor syndrome,クリングゾル症候群,symptom,症状,medical syndrome,,Q124957451
XX male syndrome,XX男性症候群,symptom,症状,rare congenital condition where an individual with XX chromosomes is born with a penis and testes,,Q365589
Kleine-Levin syndrome,クライン・レビン症候群,symptom,症状,recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior,,Q613809
earworm,イヤーワーム,symptom,症状,catchy piece of music that continually repeats through a person's mind after it is no longer playing,歌または音楽の一部分が心の中で強迫的に反復される現象,Q555631
intermittent claudication,間欠跛行,symptom,症状,"symptom that describes muscle pain on mild exertion (ache, cramp, numbness or sense of fatigue)",,Q1097957
runny nose,鼻漏,symptom,症状,type of medical symptom where the nasal cavity is filled with fluid mucus,,Q1115038
Peter Pan syndrome,ピーターパン症候群,symptom,症状,syndrome,「大人という年齢に達しているが精神的に大人になれない男女」を表す概念,Q1077589
altitude sickness,高山病,symptom,症状,acute negative health effects from high altitude,,Q624497
dysentery,赤痢,symptom,症状,inflammation of the intestine causing diarrhea with blood,下痢や血便を主症状とする大腸の感染症,Q129279
chronic pain,慢性疼痛,symptom,症状,acute pain extending beyond the usual healing process,,Q1088113
immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,IPEX症候群,symptom,症状,"hypersensitivity reaction type II disease characterized by onset in infancy of refractory diarrhea, endocrinopathies, type 1 diabetes mellitus, and dermatitis that has material basis in mutation in the FOXP3 gene on chromosome Xp11",,Q3508566
low milk supply,母乳不足,symptom,症状,production of breast milk by a mother that is of insufficient quantity to meet the nutritional needs of her infant,,Q1641325
dominant white,優性白色,symptom,症状,horse coat color and its genetics,,Q2729941
vesicular sound,肺胞呼吸音,symptom,症状,normal breath sound,,Q3328158
salmon-colored rash,サーモンピンク疹,symptom,症状,,成人Still病において発熱と同時に現れるサーモンピンク色の紅斑。掻痒感はなく、解熱と同時に消退する。,Q29589522
emotional lability,気分変動,symptom,症状,medical symptom,,Q28455110
Acute scrotum,急性陰嚢症,symptom,症状,,陰嚢の急性疼痛・腫脹,Q126810878
nasal irritation,鼻の刺激,symptom,症状,,,Q21118859
false memory syndrome,過誤記憶,symptom,症状,syndrome,,Q195961
Dorian Gray syndrome,ドリアン・グレイ症候群,symptom,症状,psychic syndrome,,Q1244963
parental alienation syndrome,片親引き離し症候群,symptom,症状,"term to describe a suite of behaviors in children, disputed by some members of the scientific community",,Q1334131
trauma in the Russian invasion of Ukraine,2022年ロシアのウクライナ侵攻におけるトラウマ,symptom,症状,,,Q119573587
ring of paleness around the mouth,口の周りの青白い輪,symptom,症状,diagnostic symptom,症状,Q56026208
autistic burnout,自閉燃え尽き症,symptom,症状,persisting state of exhaustion in autistic people,,Q97365310
hypocapnia,低炭酸ガス血症,medical sign,医学的徴候,state of reduced carbon dioxide in the blood,,Q1328215
bronchoconstriction,気管支収縮,medical sign,医学的徴候,constriction of the airways in the lungs,,Q4375
attention deficit hyperactivity disorder,注意欠陥・多動性障害,medical sign,医学的徴候,neurodevelopmental disorder,神経発達症の一種,Q181923
agranulocytosis,無顆粒球症,medical sign,医学的徴候,"acute, severe lowered white blood cell count",末梢血中において好中球が極端に減少すること,Q396013
hypotension,低血圧,medical sign,医学的徴候,abnormally low blood pressure,,Q275419
Courvoisier's law,クールボアジェ徴候,medical sign,医学的徴候,clinical sign pertaining to the gallbladder,無痛性の胆嚢腫大,Q1137870
hypernatremia,高ナトリウム血症,medical sign,医学的徴候,high concentration of sodium ions in the blood,,Q1132653
acidosis,アシドーシス,medical sign,医学的徴候,a process causing increased acidity in the blood and other body tissues,生体の血液の平衡を酸性側にしようとする状態をアシドーシス、塩基性側にしようとする状態をアルカローシスと言う,Q185089
gag reflex,咽頭反射,medical sign,医学的徴候,reflex at the back of the throat,,Q1142879
pain,疼痛,medical sign,医学的徴候,type of unpleasant feeling,不快な感覚の一種,Q81938
underweight,低体重,medical sign,医学的徴候,classification of human body weight,BMI18.5未満の状態。月経不順・不妊・脱毛・骨粗鬆症・精神不安・摂食障害など肉体的又は精神的リスクのみある体重。,Q1146902
epidermoid cyst,粉瘤腫,medical sign,医学的徴候,human disease,,Q379476
dark triad,ダークトライアド,medical sign,医学的徴候,"three antisocial personality traits: narcissism, Machiavellianism, and psychopathy",,Q1266051
hypokalemia,低カリウム血症,medical sign,医学的徴候,Health condition with insufficient potassium in blood,,Q794086
small for gestational age,低出生体重児,medical sign,医学的徴候,babies whose birth weight lies below the 10th percentile for that gestational age,,Q1298973
hypoglycemia,低血糖症,medical sign,医学的徴候,low blood sugar,血糖値が低くなっている状態,Q202758
primary progressive aphasia,原発性進行性失語,medical sign,医学的徴候,progressive language and speech disorder,,Q18767
